cell,seed,last_step,last_reward,learned
cheetah_run__easy,1,475000,569.9908967531937,yes
cheetah_run__easy,2,475000,621.4841668136439,yes
cheetah_run__easy,3,475000,625.4838226693455,yes
cheetah_run__none,1,475000,706.8878293170069,yes
cheetah_run__none,2,475000,732.6805275434566,yes
cheetah_run__none,3,475000,714.3265818364702,yes
walker_walk__easy,1,475000,28.8985233982009,no
walker_walk__easy,2,475000,27.57881598109451,no
walker_walk__easy,3,475000,27.645034518245417,no
walker_walk__easy,4,475000,20.85910557219338,no
walker_walk__easy,5,475000,33.48120773115453,no
walker_walk__easy,6,475000,870.3520453289345,yes
walker_walk__easy,7,350000,27.77618393992403,no
walker_walk__easy,8,350000,789.0303924865669,yes
walker_walk__easy,9,350000,30.45947317540655,no
walker_walk__none,1,475000,967.1247290033264,yes
walker_walk__none,2,475000,952.8448401002964,yes
walker_walk__none,3,475000,23.346127276585516,no
walker_walk__none,4,475000,880.6501053919303,yes
walker_walk__none,5,475000,21.623756052694226,no
walker_walk__none,6,475000,958.3923214405062,yes
