step,episode_reward
0,24.903905868530273
25000,948.8019409179688
50000,952.9528198242188
75000,971.4205932617188
100000,969.7369384765625
125000,971.8143310546875
150000,976.9222412109375
175000,979.0012817382812
200000,976.6661376953125
225000,977.1402587890625
250000,979.5113525390625
275000,982.5264892578125
300000,977.7507934570312
325000,986.6970825195312
350000,976.953125
375000,984.0340576171875
400000,978.9615478515625
425000,972.5673828125
450000,979.7069091796875
475000,982.2307739257812
500000,974.3478393554688
