task,seed,step_50000,step_100000,step_200000,step_250000,step_300000,step_375000,step_400000,step_500000,final_ckpt_30ep
cheetah-run,1,339.6,332.5,533.4,580.1,576.5,580.0,567.7,418.4,475.0
cheetah-run,2,196.7,394.4,466.0,466.0,480.3,486.5,479.3,418.7,427.9
cheetah-run,3,237.1,329.0,395.1,423.1,400.6,434.4,451.8,439.5,423.1
dcs-easy-cheetah-run,1,65.3,126.7,209.4,259.4,240.8,256.7,295.3,357.4,300.8
dcs-easy-cheetah-run,2,84.2,149.6,227.5,233.2,387.5,413.9,376.0,473.6,470.0
dcs-easy-cheetah-run,3,89.5,137.0,204.2,249.7,248.4,311.0,347.6,359.0,398.4
dcs-easy-walker-walk,1,193.7,294.3,507.9,576.7,617.1,708.5,723.3,817.3,753.8
dcs-easy-walker-walk,2,265.5,471.7,588.6,744.0,859.1,898.1,858.1,933.1,924.8
dcs-easy-walker-walk,3,182.2,408.3,619.9,705.9,756.0,780.5,851.7,885.8,882.4
walker-walk,1,497.1,863.7,936.4,953.8,953.0,964.1,960.5,818.6,846.9
walker-walk,2,532.7,855.4,936.0,949.3,962.7,970.3,963.7,928.5,935.6
walker-walk,3,620.9,888.1,958.9,954.2,967.0,964.0,975.1,961.7,963.4
